config_id,v_sat,v_dep_sat,v_col_sat,kappa,n,width_crab_sat,width_crab_byz_sat,width_crab_p125_sat,width_crab_p150_sat,width_crab_p200_sat,c_star_sat,width_crabhe_cstar_minus_eps,width_crabhe_cstar,width_crabhe_cstar_plus_eps,c_n_star_sat,he_condition_valid,he_condition_reason,mad_standalone_width_sat,he_standalone_margin_sat,elapsed_micros
dep0.100-col0.75-k3-n7,2000000,200000,150000,3,7,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3400000,true,valid,50000,50000,0
dep0.100-col0.75-k5-n1,2000000,200000,150000,5,1,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2200000,true,valid,50000,100000,0
dep0.100-col0.75-k5-n3,2000000,200000,150000,5,3,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2600000,true,valid,50000,100000,0
dep0.100-col0.75-k5-n5,2000000,200000,150000,5,5,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3000000,true,valid,50000,100000,0
dep0.100-col0.75-k5-n7,2000000,200000,150000,5,7,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3400000,true,valid,50000,100000,0
dep0.100-col0.75-k7-n1,2000000,200000,150000,7,1,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2200000,true,valid,50000,116666,0
dep0.100-col0.75-k7-n3,2000000,200000,150000,7,3,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2600000,true,valid,50000,116666,0
dep0.100-col0.75-k7-n5,2000000,200000,150000,7,5,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3000000,true,valid,50000,116666,0
dep0.100-col0.75-k7-n7,2000000,200000,150000,7,7,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3400000,true,valid,50000,116666,0
dep0.100-col1.00-k3-n1,2000000,200000,200000,3,1,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2200000,true,valid,0,100000,0
dep0.100-col1.00-k3-n3,2000000,200000,200000,3,3,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2600000,true,valid,0,100000,0
dep0.100-col1.00-k3-n5,2000000,200000,200000,3,5,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3000000,true,valid,0,100000,0
dep0.100-col1.00-k3-n7,2000000,200000,200000,3,7,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3400000,true,valid,0,100000,0
dep0.100-col1.00-k5-n1,2000000,200000,200000,5,1,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2200000,true,valid,0,150000,0
dep0.100-col1.00-k5-n3,2000000,200000,200000,5,3,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2600000,true,valid,0,150000,0
dep0.100-col1.00-k5-n5,2000000,200000,200000,5,5,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3000000,true,valid,0,150000,0
dep0.100-col1.00-k5-n7,2000000,200000,200000,5,7,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3400000,true,valid,0,150000,0
dep0.100-col1.00-k7-n1,2000000,200000,200000,7,1,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2200000,true,valid,0,166666,0
dep0.100-col1.00-k7-n3,2000000,200000,200000,7,3,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2600000,true,valid,0,166666,0
dep0.100-col1.00-k7-n5,2000000,200000,200000,7,5,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3000000,true,valid,0,166666,0
dep0.100-col1.00-k7-n7,2000000,200000,200000,7,7,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3400000,true,valid,0,166666,0
